title,publishedAt,sentiment
Asian shares bounce after Trump's victory as focus turns to the Fed,2024-11-07,Positive
US talk show host on verge of tears as he calls Trump win 'terrible night',2024-11-07,Negative
Trump victory gives Modi chance to reset India’s image with West,2024-11-07,Positive
Ex-Yankees star Roger Clemens calls out Americans who said they’d leave US if Trump won 2024 election: ‘Don’t let the door hit you in the ass’,2024-11-07,Neutral
Canada ordered ByteDance to shut down TikTok operations in the country over security concerns,2024-11-07,Negative
Critical bug in Cisco UWRB access points allows attackers to run commands as root,2024-11-07,Neutral
'Our time has come': Honda's CEO on its bold EV future,2024-11-07,Neutral
Hunter,2024-11-07,Neutral
CNBC Daily Open: The Trump rally kicks off,2024-11-07,Neutral
"Tech giants brace for AI revamp, antitrust pullback in Trump 2.0",2024-11-07,Negative
Watch These Tesla Price Levels as Stock Surges to 15-Month High - Investopedia,2024-11-07,Positive
"Stock market today: Dow, Nasdaq, S&P 500 all soar to records after Trump triumphs in election - Yahoo Finance",2024-11-07,Neutral
Lyft Soars on Earnings Outlook Bolstered by Record Trips,2024-11-07,Positive
Musk gains billions on Trump’s victory – Bloomberg,2024-11-07,Positive
Data shows Tesla Cybertruck is dominating its rivals — here's what sets it apart from the rest,2024-11-07,Neutral
"Japanese automaker Nissan cuts 9,000 jobs as its vehicles fail to sell",2024-11-07,Negative
"Futures steady after Trump-fueled rally, Fed's rate decision awaited",2024-11-07,Negative
Elon Musk’s latest government bet pays off: Morning Brief,2024-11-07,Neutral
"Founder of China’s answer to Wayve talks $100m funding, Tesla’s FSD, and AI future",2024-11-07,Neutral
Tesla Stock Pulls Back After Musk's ‘Bet for the Ages’,2024-11-07,Neutral
"Trump win: Can India Inc hope for new US opportunities, as much as Musk would fancy his chances for India entry?",2024-11-07,Positive
"Nissan to cut 9,000 jobs, announces restructuring",2024-11-07,Neutral
Wall Street's most famous floor trader recounts election euphoria at the NYSE and explains how to trade an incredibly bullish fourth quarter,2024-11-07,Positive
Being Elon Musk,2024-11-07,Neutral
"North American OEM Software-defined Vehicle (SDV) Strategy Report 2024 Featuring Ford, GM, and Tesla",2024-11-07,Neutral
Elon Musk’s Fortune Surges $26.5 Billion After Trump Secures US Election Victory,2024-11-07,Positive
"A new era just began for SpaceX, Tesla? Speculations swirl as Elon Musk enters Trump's inner circle",2024-11-07,Negative
'A star is born:' Elon Musk's big bet on Trump pays off,2024-11-07,Neutral
Biden set to make first post-election comments,2024-11-07,Neutral
How a man used legal loophole to live rent-free in a historic New York hotel where Muhammad Ali and Nikola Tesla used to stay,2024-11-07,Neutral
Warren Buffett and Jensen Huang stayed quiet on the election—and their fortunes have rallied more than $12 billion,2024-11-07,Neutral
Lidl launches rival Coca-Cola Christmas truck with full list of UK locations and dates,2024-11-07,Neutral
"Trump’s victory fuels market rally; trading volumes, investor activity surge",2024-11-07,Positive
"Netanyahu's son Yair met with Musk, praises him for defending free speech",2024-11-07,Neutral
Biden set to address nation after Trump's decisive US election win,2024-11-07,Neutral
Man who used legal loophole to live rent-free for years in New Yorker Hotel found unfit to stand trial,2024-11-07,Neutral
Trump's Indians: Indian-origin loyalists who could get top jobs,2024-11-07,Neutral
Drivers changing car tyres too early are wasting their money and hurting the planet,2024-11-07,Negative
"In a win for Elon Musk, Scindia says no to spectrum auction pitch from Ambani, Mittal",2024-11-07,Neutral
Osei Kwame Despite Drives His Brand New Tesla Cybertruck In The Streets Of Accra,2024-11-07,Neutral
'Trump Trade': Election news leads to biggest 1-day stock market gain in 2 years - ABC News,2024-11-07,Positive
Elon Musk’s net worth soars over $20 billion after Trump win - Cointelegraph,2024-11-07,Positive
Trump Win Sparks Record $64 Billion Gain for World’s 10 Richest People - Bloomberg,2024-11-07,Positive
How Elon Musk's clout with Trump could enrich his companies,2024-11-07,Neutral
Kojo Forex Calls Out Ghanaian Men And Women In Their Thirties Who Have Not Yet Made GH¢100k,2024-11-07,Neutral
Fed cuts interest rates days after election,2024-11-07,Neutral
Federal Reserve set to make interest rate decision days after election of Trump,2024-11-07,Neutral
Donald Trump's election win is already helping the world's richest get even richer,2024-11-07,Positive
"FACT CHECK: No, Elon Musk Did Not Make Post Criticizing US For Ending Apartheid In South Africa",2024-11-07,Neutral
The market is already indicating the early winners and losers from Trump's win,2024-11-07,Positive
Elon Musk Takes Place of One Important Person in Trump Family Photo,2024-11-07,Neutral
Togg continues to dominate Turkish electric vehicle market,2024-11-07,Neutral
"Automakers Gear Up As New Tariffs, EV Policy Changes Loom Under Trump Administration",2024-11-07,Negative
Musk Wins Again: Federal Appeals Court Upholds No-Fraud Verdict In Tesla Tweets Case,2024-11-07,Positive
5 Things to Know Before the Stock Market Opens,2024-11-07,Neutral
How Elon Musk stands to cash in on Trump's presidential victory,2024-11-07,Neutral
Tesla stock target lifted at BofA by over 30% after Trump win,2024-11-07,Positive
Mexican economy chief says wants to sound out Musk on Tesla plant plans,2024-11-07,Neutral
Deaton For SEC Chair? Crypto Community Urges Trump To Consider Role For $XRP Champion,2024-11-07,Neutral
The Richest Man in the World Owns Just One Stock,2024-11-07,Neutral
The growing danger of Elon Musk’s misinformation machine,2024-11-07,Negative
"Nissan Cuts 9,000 Jobs Amid Declining Sales and Rising Costs",2024-11-07,Negative
"S&P 500 Leader Beats With 54% Revenue Growth, Adds $1 Billion To Buyback",2024-11-07,Positive
Elon Musk’s estranged trans daughter announces she’s leaving the US after Trump win,2024-11-07,Neutral
"Markets Erupt: Dow Futures Up 1,300, Dollar Soars After Historic Trump Three-Peat",2024-11-07,Neutral
"In a win for Elon Musk, Scindia rejects spectrum auction pitch from Ambani, Mittal",2024-11-07,Neutral
Did Trump Run an Actually Good Campaign?,2024-11-07,Positive
Prof. Schlevogt’s Compass № 9: How to seal an election in five steps through information power,2024-11-07,Neutral
2 crypto tycoons are almost $15 billion richer after Trump's election victory,2024-11-07,Neutral
Opinion: Musk Is The Risk,2024-11-07,Negative
"President Elect Trump is expected to Shift Course on Antitrust to Stop cases against Apple, Google and others",2024-11-07,Neutral
Rivian and Lucid shares take a dive while Tesla soars,2024-11-07,Neutral
What a Donald Trump victory means for tech,2024-11-07,Neutral
Amazon - Mibao All-Weather Tesla Model Y Floor Mats $19.99,2024-11-07,Neutral
Donald Trump's transition starts now. Here's how it will work,2024-11-07,Neutral
Elon Musk's Daughter Says She's Leaving U.S. After Trump's Presidential Win,2024-11-07,Neutral
"Nissan cuts outlook, announces restructuring with 9,000 job cuts",2024-11-07,Negative
Solar Energy World Review: The Best Warranty We've Seen,2024-11-07,Positive
Volvo’s much-anticipated EX30 EV to reach U.S. before year end,2024-11-07,Neutral
Carbon emissions from private jets have exploded in recent years,2024-11-07,Negative
Trump Considers Cabinet Role for Dumbest Senator in the Country,2024-11-07,Neutral
Elon Musk’s Daughter Shares Heartbreaking Message After Trump Win,2024-11-07,Positive
Trump’s Proposed Cabinet Is the Stuff of Nightmares,2024-11-07,Neutral
French President Cheekily Denies Hilariously Roasting Trump,2024-11-07,Neutral
Secrets of Trump 'Advisor' Elon Musk’s Ultra-Secret $35Million 'Cult-Style' Family 'Compound' — Which He Insists Is a Huge 'Art Installation',2024-11-07,Positive
Stock market 'exuberance' looms ahead with Trump win,2024-11-07,Positive
Money Man: Trump Election Win Sparks Record-Setting Stocks and Sends Dollar Soaring — as America's Harris-Backing Congratulates The Don,2024-11-07,Positive
Elon Musk to Run ‘Unregulated Entity’ Tasked With Reorganizing Government Under Trump: Report,2024-11-07,Neutral
Why China is worried about a second Trump presidency – and how Beijing might react,2024-11-07,Negative
"The Musk whisperer: How Omead Afshar, world's richest man's right hand, is re-shaping Tesla",2024-11-07,Neutral
Elon Musk in trouble: Voters sue the Tesla CEO for fraud over $1 million election giveaway,2024-11-07,Negative
"Trump's Top Contenders to Lead His Next Situation Room, According to Reports",2024-11-07,Neutral
"Billion dollar question, what will Elon Musk's role be in the new Trump administration? Here are some hints",2024-11-07,Neutral
China-US: Trump 2.0 may not be such bad news for China if Xi Jinping — and Elon Musk — play it right,2024-11-07,Negative
UK and Europe dumps on Trump,2024-11-07,Negative
"Stock market today: Fed cuts rates, Nasdaq surges as Nvidia and Amazon lead tech rally",2024-11-07,Positive
Google Patents Tech That Won't Let You Drive If It Decides You're Doing A Bad Job,2024-11-07,Negative
Dually Cybertruck Mod Is Just Heavy Duty Truck Cosplay,2024-11-07,Neutral
Crypto Analysts Project $4 Price For Elon Musk-Backed Dogecoin Following Trump Presidency Win,2024-11-07,Neutral
"Melania has spoken, posts cryptic message after Donald Trump's victory in the U.S elections; here's what she wrote",2024-11-07,Neutral
DPRK-linked BlueNoroff used macOS malware with novel persistence,2024-11-07,Neutral
How Elon Musk Bought America,2024-11-07,Neutral
Biden urges Americans to 'bring down the temperature' following Trump's US election win,2024-11-07,Positive
BofA: Elon Musk’s Clout Within The Trump Administration 2.0 And A “Shift Away From The Aggressive Scrutiny” Might Benefit Tesla,2024-11-07,Positive
Op-ed: What to expect from Trump's first 100 days when it comes to China,2024-11-07,Neutral
BODY LANGUAGE EXPERT: Justin Bieber Is Responding To Diddy!! (WATCH),2024-11-07,Neutral
Mexico wants to know if Tesla still plans to build its Gigafactory there after Trump’s win,2024-11-07,Neutral
Enhance customer support with Amazon Bedrock Agents by integrating enterprise data APIs,2024-11-07,Positive
Stocks jump after Trump wins election,2024-11-07,Positive
"Now that Trump has won, here’s who may come to the White House with him",2024-11-07,Neutral
Electric Volvo EX30 Is Finally Coming to the US After Tariff Delay,2024-11-07,Neutral
Biden calls Trump victory ‘fair’ and ‘transparent’,2024-11-07,Neutral
Tech CEOs Eagerly Grovel at the Feet of Trump,2024-11-07,Neutral
Biden Urges Americans To 'Bring Down Temperature' After Trump Win,2024-11-07,Neutral
Market Watch: Trump unleashes the Wall St bull ... how long will it run?,2024-11-07,Positive
Here are the most talked-about candidates for top posts in Trump's administration,2024-11-07,Neutral
"The S&P 500 will gain 11% by mid-2025 as the bull market accelerates under Trump, Evercore says",2024-11-07,Positive
Tesla Cybertruck Owners Are Trying To Sell Their Used Trucks For More Than The Cost Of A Brand New One,2024-11-07,Neutral
Prediction: TSLA Will Split Its Stock Under a Trump Presidency,2024-11-07,Neutral
Automakers are bracing for Trump — and his anti-EV plans,2024-11-07,Neutral
Volvo EV owners can now charge at Tesla Superchargers,2024-11-07,Neutral
"With Trump’s win, Elon Musk stands to benefit",2024-11-07,Positive
Used electric car deals are coming as lease returns expected to surge,2024-11-07,Positive
"Jackery Black Friday 50% off, Rad Power e-bike sale, exclusive EcoFlow DELTA Pro bundles $2,400 off, more",2024-11-07,Neutral
Here's how much richer the world's wealthiest men are after Trump's victory,2024-11-07,Positive
The World's Richest Had a Very Good Post-Election Day,2024-11-07,Positive
Jim Cramer Calls Trump's Return To White House A 'Huge Win For The Stock Market',2024-11-07,Positive
Officially a landslide! Trump won 312 Electoral College votes,2024-11-07,Neutral
Cybertruck reviewer says a sponsor didn't want to be featured in his video with the vehicle,2024-11-07,Neutral
Silicon Valley’s right wing notches victories nationwide and at home,2024-11-07,Neutral
"Argentina's Milei to meet with Trump, Musk next week in the US",2024-11-07,Neutral
The Iconic Scout SUV Is Making an Electric Comeback Under Volkswagen,2024-11-07,Neutral
The time for a Tesla phone is now or never,2024-11-07,Neutral
What will Trump 2.0 mean for US tech?,2024-11-07,Neutral
How the Trump team is working quietly to ensure a smoother transition than after 2016 win,2024-11-07,Positive
The best ASX ETFs to buy for the long term,2024-11-07,Positive
Jeff Bezos' net worth hits all-time high fueled by Amazon shares getting Trump bump,2024-11-07,Positive
What Trump's election victory means for job seekers,2024-11-07,Neutral
Markets retain their post-Trump feelgood vibe,2024-11-07,Neutral
Tesla Stock Soars Again After Elon Musk ‘Made a Bet for the Ages’ - Barron's,2024-11-07,Neutral
Billionaires Elon Musk and Jeff Bezos See Mega Boost to Net Worth,2024-11-07,Positive
"Lil Win Brags As He Flaunts Expensive Huawei Mate XT Phone: ""I Am The Only One Who Owns One In GH""",2024-11-07,Neutral
Tesla hits a $1 trillion market cap after the stock rallies 27% following Trump's election win,2024-11-08,Neutral
Purelight Power Review: The New Kid on the Block,2024-11-08,Neutral
"Scout Terra vs. Tesla Cybertruck: retro and futuristic, head to head",2024-11-08,Neutral
Sam Altman May Be One of the Biggest Losers of This Election,2024-11-08,Negative
"Tesla Cybertruck Is Now Available To Lease, If You Can Stomach The High Monthly Payments",2024-11-08,Neutral
Tesla Begins Offering Cybertruck Leases Starting at $999 a Month,2024-11-08,Neutral
Tesla just hit a $1 trillion market cap as Trump's win powers a stock surge,2024-11-08,Positive
Silicon Valley is betting a Musk-inspired Trump could unleash a startup boom,2024-11-08,Positive
Google Maps now lets you pick and paint your own virtual car,2024-11-08,Neutral
Tesla stock closes at highest level in over 2 years as Musk's big Trump bet pays off,2024-11-08,Positive
LG To Supply Rivian R2 With 4695 Cells From 2026,2024-11-07,Neutral
Elon Musk Shines In 'Trump Sweepstakes:' A Big Win For Tesla? Dan Ives Thinks So - Tesla (NASDAQ:TSLA),2024-11-08,Positive
"Musk’s Political Efforts Paid Off, What About For Tesla, Robotaxis?",2024-11-07,Neutral
Chinese stocks associated with Tesla jump after Trump’s election win,2024-11-08,Neutral
Rivian sticks to gross profit target despite part supply disruption,2024-11-07,Negative
"The Dow hits 44,000 for the first time ever as stocks rally on Trump's election win",2024-11-08,Positive
Tesla hits $1tn market value after Musk-backed Trump win,2024-11-08,Positive
Tesla Hits $1 Trillion Market Cap—Musk Becomes $300 Billion Man After Trump Win,2024-11-08,Neutral
It Seems Like People Are Done Paying Over MSRP For New Cars,2024-11-08,Neutral
Stocks Tally Best Week This Year As Banks And Tesla Lead Trump-Boosted Rally,2024-11-08,Positive
Tesla Shares Roar Back to Trillion-Dollar Value on Trump’s Win,2024-11-08,Positive
From Musk to RFK: What a new Trump administration may look like,2024-11-08,Neutral
US agency says Tesla’s public statements imply that its vehicles can drive themselves. They can’t,2024-11-08,Neutral
Tesla surpasses $1 trillion in valuation in the wake of Trump's victory,2024-11-08,Positive
Tesla $450 in 90 Days,2024-11-08,Neutral
"S&P 500 Tops 6,000 For First Time Ever Following Trump Election Surge",2024-11-08,Positive
"Tesla Model 3, Model Y launched in Philippines – lowest prices in ASEAN, from RM159k",2024-11-08,Neutral
Elon Musk Is Joining Trump’s Talks With World Leaders,2024-11-08,Neutral
Tesla hits $1 trillion market value as Musk-backed Trump win fans optimism,2024-11-08,Positive
Musk Reportedly Joined Trump’s Call With Ukrainian President: Here’s Everything They’ve Said About Working Together,2024-11-08,Neutral
"Elon Musk joined Trump's call with Zelenskyy, showing the Tesla CEO's new influence after spending at least $119 million on the campaign",2024-11-08,Neutral
What Musk's ties to Trump could mean for Nvidia,2024-11-08,Neutral
Trump’s techno-libertarian dream team goes to Washington,2024-11-08,Neutral
Xpeng Takes on Tesla with New Iron Humanoid Robot,2024-11-08,Neutral
"Elon Musk’s X Opens Online Merch Store, Perhaps To Purge All Memory Of Twitter",2024-11-08,Neutral
"S&P 500 Breaks 6,000 Points, Dow Soars Above 44,000, Small Caps Eye Strongest Week In 4 Years, Tesla Hits $1 Trillion: What's Driving Markets Friday?",2024-11-08,Positive
Bitcoin is the new ground floor and peg.,2024-11-08,Neutral
Is The Kia EV3 The EV We’ve Been Waiting For? Golden Steering Wheel Team Says Yes,2024-11-08,Neutral
Naval Describes Elon’s Passion for Mars and Other Missions,2024-11-08,Neutral
Tesla Model 3 and Tesla Model Y priced in the Philippines,2024-11-08,Neutral
World’s 10 Wealthiest Men Gained Billions More One Day After Trump Win,2024-11-08,Positive
Tesla launches Cybertruck leasing as EV tax credit could be under threat,2024-11-08,Negative
Trump 2.0: Who is going to be in the US president-elect’s administration?,2024-11-07,Neutral
What Happened To Tesla’s Promised Mexico Gigafactory?,2024-11-08,Neutral
XPeng EVs just months away from UK launch with XPeng G6 SUV first up,2024-11-08,Neutral
Tesla launches Cybertruck leases stating at $999 to boost demand,2024-11-08,Positive
BYD Sealion 7 EV SUV launching in Malaysia Nov 14,2024-11-08,Neutral
Rivian R2 will use LG batteries made in US,2024-11-08,Neutral
Tesla (TSLA) valuation surges to equal next 10 biggest automakers over Trump/Musk relationship,2024-11-08,Positive
Updates on the Arc of the Moral Universe,2024-11-08,Neutral
New Mercedes CLA: best look yet ahead of 2025 launch with hybrid and all-electric power,2024-11-08,Positive
HALOBLK Tesla Accessories Free Mudflaps with Model Y Floor Mats Purchase. Use Code 'mudflaps' at The Checkout,2024-11-08,Neutral
"DraftKings Posts Major Q3 Miss, Slashes 2024 Revenue Outlook",2024-11-07,Negative
Taser Maker Axon Soars On Uplifting Guidance After Trump Election,2024-11-08,Positive
"Volkswagen, BMW top Tesla for new electric vehicles in Germany",2024-11-08,Neutral
Conflict Of Interest In The Trump Campaign? Of Course,2024-11-08,Negative
"Trump White House Could Unlock Trillion-Dollar AI Potential For Tesla, Says Dan Ives",2024-11-08,Positive
Today's news and jokes,2024-11-08,Neutral
US agency says Tesla’s public statements imply that its vehicles can drive themselves. They can’t.,2024-11-08,Neutral
"Musk joined Trump's call with Ukraine's Zelenskyy, media reports say",2024-11-08,Neutral
"Corporate America is gearing up for Donald Trump's tariffs, tax cuts — and possibly his revenge",2024-11-08,Neutral
"TikTok Hopes for Lifeline From President-Elect Trump, Who Once Favored Ban",2024-11-08,Neutral
US agency says Tesla's public statements imply that its vehicles can drive themselves. They can't,2024-11-08,Neutral
"Mawari Raises $10.8 Million To Tokenize Spatial Streaming, A Peek At Google’s AI Agent Jarvis",2024-11-07,Neutral
A Municipal Titanic,2024-11-08,Neutral
Why The Epidemic In Quality Failures And What MedTechs Can Learn,2024-11-08,Negative
Elon Musk Bought CNN?,2024-11-08,Neutral
"The US Votes For Fewer Electric Vehicles, More Gas Guzzlers",2024-11-08,Neutral
Where does Elon Musk go from here?,2024-11-08,Neutral
Elon Musk’s net worth rockets to over $300 billion as Trump win fuels optimism for Tesla and SpaceX,2024-11-08,Positive
Hollywood Prepares for new Megamergers...,2024-11-08,Neutral
Elon Musk Joins Trump's First Post-Election Call With Zelensky,2024-11-08,Neutral
Elon Musk Is Now the $300B Man,2024-11-08,Neutral
Bitcoin for Investors,2024-11-08,Neutral
What Will Trump 2.0 Mean For US Tech?,2024-11-08,Neutral
How Donald Trump Let Billionaire Elon Musk Run His $175Million Ground Game — as X Boss Gears Up To Become Key 'Advisor' in Trump's Cabinet,2024-11-07,Neutral
Trump appoints first ever female chief of staff,2024-11-08,Neutral
"Stock market today: Dow, S&P 500 cap best week of year with records as post-election rally rolls on",2024-11-08,Positive
What Will Trump’s Victory Mean for the Climate?,2024-11-08,Neutral
"Save $400 on MOD’s new Easy SideCar Sahara e-bike, Heybike Ranger S e-bike $999, Hiboy 2024 P6 e-bike $940, more",2024-11-08,Neutral
What will Trump 2.0 mean for U.S. tech?,2024-11-07,Neutral
Volvo won’t implement full self-driving technology until it’s “100 per cent safe”,2024-11-08,Neutral
Elon Musk Took Part In Trump-Zelensky Call: Ukrainian Official,2024-11-08,Neutral
Why Tesla Stock Has Soared This Week,2024-11-08,Neutral
"As Tesla Stock Surges, Lucid Falls",2024-11-08,Neutral
"3-Stock Lunch: Goldman Sachs, Tesla, & Vistra",2024-11-08,Neutral
Google Maps getting new customizable car icons for navigation,2024-11-08,Neutral
Why the election felt like the 2021 meme stock rally — but way bigger,2024-11-08,Neutral
Tesla and Alibaba lead afternoon market cap stock movers on Friday,2024-11-08,Neutral
US agency raises concerns about Tesla Full Self-Driving social media posts,2024-11-08,Negative
Marvel Is Horny as Hell for Channing Tatum's Gambit,2024-11-08,Neutral
Who Will Staff Trump's Government? A Look At Top Contenders,2024-11-08,Neutral
"Solar, Clean Energy Stocks Hammered After Trump’s White House Victory",2024-11-08,Negative
"""He will be gone in the upcoming election"": Elon Musk on Canada's PM Justin Trudeau's political future",2024-11-08,Neutral
Who will staff Trump's government? A look at top contenders,2024-11-08,Neutral
Technology Fears,2024-11-08,Negative
EVs Take 30.2% Share in the UK — Near Record High,2024-11-08,Positive
Weltschmerz After Trump’s Triumph,2024-11-08,Neutral
"What Musk, the key knight in Don's game, just said about Justin Trudeau is music to the ears of Modi govt",2024-11-08,Neutral
"Rivian is shoring up sourcing for its R2 affordable SUV with Trump's proposed tariffs in mind, CEO says",2024-11-08,Neutral
"Trump makes first cabinet pick, eyes Putin talks",2024-11-08,Neutral
Elon Musk Replies To 'We Need Your Help Removing Trudeau' Post,2024-11-08,Neutral
Who will buy Infowars? Both supporters and opponents of Alex Jones interested in bankruptcy auction,2024-11-08,Neutral
"Nissan slashes 9,000 jobs, cuts production by 20% amid 94% income drop, CEO to take 50% pay cut",2024-11-08,Negative
"Before the election, tech CEOs were quietly courting Trump",2024-11-08,Neutral
"Before the US election, tech CEOs were quietly courting Trump",2024-11-08,Neutral
Elon Musk’s Estranged Daughter Vivian Slams Him For Supporting Trump’s Anti-Trans Campaign,2024-11-08,Neutral
"Trump's stock market victory rally might not last long, Goldman Sachs says. Here's why - Quartz",2024-11-08,Neutral
"Rep. Josh Gottheimer Sells Off Shares of Tesla, Inc. (NASDAQ:TSLA)",2024-11-08,Neutral
"Here are Big Tech's winners and losers from Donald Trump's win, according to the market",2024-11-08,Positive
"CNN Must Face Project Veritas’ Defamation Lawsuit, Appeals Court Rules",2024-11-08,Neutral
Sen. Sheldon Whitehouse Sells Mastercard Incorporated (NYSE:MA) Shares,2024-11-08,Neutral
Coca-Cola (NYSE:KO) Stock Acquired Sen. Sheldon Whitehouse,2024-11-08,Neutral
,2024-11-08,Error
"Tesla, Inc. (NASDAQ:TSLA) Director Sells $15,138,915.00 in Stock",2024-11-08,Neutral
Trump's Chief of Staff Pick Worked as a Tobacco Lobbyist While Running 2024 Campaign,2024-11-08,Neutral
Dump Twitter,2024-11-08,Neutral
Alex Jones supporters and opponents are both angling to buy Infowars at bankruptcy auction,2024-11-08,Neutral
Another company not named Tesla is bring autonomous taxis to Atlanta [Interesting],2024-11-08,Neutral
Podcast: Making Digital Accessibility More Than Just High Contrast: Building Truly Inclusive Software,2024-11-08,Positive
Italy PM Giorgia Meloni is all praises for 'interlocutor' Elon Musk. Check what she said,2024-11-08,Neutral
iPhones in a law enforcement forensics lab mysteriously rebooted losing their After First Unlock (AFU) state,2024-11-08,Neutral
The digital divide for Indian Country got better under Biden—will that progress go away?,2024-11-08,Neutral
